url,title,brand,model,year,location,region,price,mileage,fuel,transmission,engine,status
https://www.gaaraas.com/fr/vehicle_listings/annonce-renault-scenic-dakar-dakar-1590,2006 Renault Scenic,Renault,Scenic,2006,Dakar,Dakar,2 300 000,200000,,Manuelle,N/A,
https://www.gaaraas.com/fr/vehicle_listings/annonce-skoda-octavia-dakar-dakar-2298,2012 Skoda Octavia,Skoda,Octavia,2012,Dakar,Dakar,3 500 000,147000,,Manuelle,N/A,
https://www.gaaraas.com/fr/vehicle_listings/annonce-citroen-c5-dakar-dakar-4273,2008 Citroen C5,Citroen,C5,2008,Dakar,Dakar,2 700 000,130000,,Manuelle,N/A,
https://www.gaaraas.com/fr/vehicle_listings/annonce-peugeot-307-dakar-dakar-4364,2007 Peugeot 307,Peugeot,307,2007,Dakar,Dakar,2 500 000,120000,,Automatique,N/A,
https://www.gaaraas.com/fr/vehicle_listings/annonce-toyota-aygo-dakar-dakar-1778,2009 Toyota Aygo,Toyota,Aygo,2009,Dakar,Dakar,2 700 000,150000,,Manuelle,N/A,
https://www.gaaraas.com/fr/vehicle_listings/annonce-citroen-c4-dakar-dakar-2214,2008 Citroen C4,Citroen,C4,2008,Dakar,Dakar,2 100 000,160000,,Manuelle,N/A,
https://www.gaaraas.com/fr/vehicle_listings/annonce-volkswagen-passat-dakar-dakar-406,2007 Volkswagen Passat,Volkswagen,Passat,2007,Dakar,Dakar,2 000 000,90000,,Automatique,N/A,
https://www.gaaraas.com/fr/vehicle_listings/annonce-citroen-c3-dakar-dakar-304,Citroen C3,Citroen,C3,,Dakar,Dakar,1 800 000,220000,,Manuelle,N/A,
https://www.gaaraas.com/fr/vehicle_listings/annonce-ford-escape-dakar-dakar-3415,2006 Ford Escape,Ford,Escape,2006,Dakar,Dakar,4 500 000,120000,,Automatique,N/A,
https://www.gaaraas.com/fr/vehicle_listings/annonce-hyundai-getz-dakar-dakar-4133,2008 Hyundai Getz,Hyundai,Getz,2008,Dakar,Dakar,1 800 000,98000,,Manuelle,N/A,
https://www.gaaraas.com/fr/vehicle_listings/annonce-citroen-c3-dakar-dakar-4136,2008 Citroen C3,Citroen,C3,2008,Dakar,Dakar,2 100 000,110000,,Manuelle,N/A,
https://www.gaaraas.com/fr/vehicle_listings/annonce-honda-civic-dakar-dakar-806,2007 Honda Civic,Honda,Civic,2007,Dakar,Dakar,2 300 000,180000,,Automatique,N/A,
https://www.gaaraas.com/fr/vehicle_listings/annonce-peugeot-207-dakar-dakar-908,2008 Peugeot 207,Peugeot,207,2008,Dakar,Dakar,1 800 000,120000,,Manuelle,N/A,
https://www.gaaraas.com/fr/vehicle_listings/annonce-jeep-patriot-dakar-dakar-2808,2010 Jeep Patriot,Jeep,Patriot,2010,Dakar,Dakar,3 900 000,140000,,Manuelle,N/A,
https://www.gaaraas.com/fr/vehicle_listings/annonce-peugeot-307-dakar-dakar-3584,2004 Peugeot 307,Peugeot,307,2004,Dakar,Dakar,2 700 000,140000,,Manuelle,N/A,
https://www.gaaraas.com/fr/vehicle_listings/annonce-ford-fusion-dakar-dakar-4194,2009 Ford Fusion,Ford,Fusion,2009,Dakar,Dakar,2 000 000,144000,,Automatique,N/A,
https://www.gaaraas.com/fr/vehicle_listings/annonce-peugeot-307-dakar-dakar-1764,2007 Peugeot 307,Peugeot,307,2007,Dakar,Dakar,2 000 000,160000,,Manuelle,N/A,
https://www.gaaraas.com/fr/vehicle_listings/annonce-renault-logan-dakar-dakar-2773,2007 Renault Logan,Renault,Logan,2007,Dakar,Dakar,2 900 000,160000,,Manuelle,N/A,
https://www.gaaraas.com/fr/vehicle_listings/annonce-daewoo-matiz-dakar-dakar-672,2009 Daewoo Matiz,Daewoo,Matiz,2009,Dakar,Dakar,3 000 000,120000,,Manuelle,N/A,
https://www.gaaraas.com/fr/vehicle_listings/annonce-peugeot-207-dakar-dakar-1989,2012 Peugeot 207,Peugeot,207,2012,Dakar,Dakar,3 800 000,142000,,Automatique,N/A,
